Id,Series_reference,Period,STATUS,UNITS,Magnitude
1,MFGQ.SFA1CA,1992.12,F,Dollars,6
2,MFGQ.SFA1CA,1993.03,F,Dollars,6
3,MFGQ.SFA1CA,1993.06,F,Dollars,6
4,MFGQ.SFA1CA,1993.09,F,Dollars,6
5,MFGQ.SFA1CA,1993.12,F,Dollars,6
6,MFGQ.SFA1CA,1994.03,F,Dollars,6
7,MFGQ.SFA1CA,1994.06,F,Dollars,6
8,MFGQ.SFA1CA,1994.09,F,Dollars,6
9,MFGQ.SFA1CA,1994.12,F,Dollars,6
10,MFGQ.SFA1CA,1995.03,F,Dollars,6
11,MFGQ.SFA1CA,1995.06,F,Dollars,6
12,MFGQ.SFA1CA,1995.09,F,Dollars,6
13,MFGQ.SFA1CA,1995.12,F,Dollars,6
14,MFGQ.SFA1CA,1996.03,F,Dollars,6
15,MFGQ.SFA1CA,1996.06,F,Dollars,6
16,MFGQ.SFA1CA,1996.09,F,Dollars,6
17,MFGQ.SFA1CA,1996.12,F,Dollars,6
18,MFGQ.SFA1CA,1997.03,F,Dollars,6
19,MFGQ.SFA1CA,1997.06,F,Dollars,6
20,MFGQ.SFA1CA,1997.09,F,Dollars,6
21,MFGQ.SFA1CA,1997.12,F,Dollars,6
22,MFGQ.SFA1CA,1998.03,F,Dollars,6
23,MFGQ.SFA1CA,1998.06,F,Dollars,6
24,MFGQ.SFA1CA,1998.09,F,Dollars,6
25,MFGQ.SFA1CA,1998.12,F,Dollars,6
26,MFGQ.SFA1CA,1999.03,F,Dollars,6
27,MFGQ.SFA1CA,1999.06,F,Dollars,6
28,MFGQ.SFA1CA,1999.09,F,Dollars,6
29,MFGQ.SFA1CA,1999.12,F,Dollars,6
30,MFGQ.SFA1CA,2000.03,F,Dollars,6
31,MFGQ.SFA1CA,2000.06,F,Dollars,6
32,MFGQ.SFA1CA,2000.09,F,Dollars,6
33,MFGQ.SFA1CA,2000.12,F,Dollars,6
34,MFGQ.SFA1CA,2001.03,F,Dollars,6
35,MFGQ.SFA1CA,2001.06,F,Dollars,6
36,MFGQ.SFA1CA,2001.09,F,Dollars,6
37,MFGQ.SFA1CA,2001.12,F,Dollars,6
38,MFGQ.SFA1CA,2002.03,F,Dollars,6
39,MFGQ.SFA1CA,2002.06,F,Dollars,6
40,MFGQ.SFA1CA,2002.09,F,Dollars,6
41,MFGQ.SFA1CA,2002.12,F,Dollars,6
42,MFGQ.SFA1CA,2003.03,F,Dollars,6
43,MFGQ.SFA1CA,2003.06,F,Dollars,6
44,MFGQ.SFA1CA,2003.09,F,Dollars,6
45,MFGQ.SFA1CA,2003.12,F,Dollars,6
46,MFGQ.SFA1CA,2004.03,F,Dollars,6
47,MFGQ.SFA1CA,2004.06,F,Dollars,6
48,MFGQ.SFA1CA,2004.09,F,Dollars,6
49,MFGQ.SFA1CA,2004.12,F,Dollars,6
50,MFGQ.SFA1CA,2005.03,F,Dollars,6
51,MFGQ.SFA1CA,2005.06,F,Dollars,6
52,MFGQ.SFA1CA,2005.09,F,Dollars,6
53,MFGQ.SFA1CA,2005.12,F,Dollars,6
54,MFGQ.SFA1CA,2006.03,F,Dollars,6
55,MFGQ.SFA1CA,2006.06,F,Dollars,6
56,MFGQ.SFA1CA,2006.09,F,Dollars,6
57,MFGQ.SFA1CA,2006.12,F,Dollars,6
58,MFGQ.SFA1CA,2007.03,F,Dollars,6
59,MFGQ.SFA1CA,2007.06,F,Dollars,6
60,MFGQ.SFA1CA,2007.09,F,Dollars,6
61,MFGQ.SFA1CA,2007.12,F,Dollars,6
62,MFGQ.SFA1CA,2008.03,F,Dollars,6
63,MFGQ.SFA1CA,2008.06,F,Dollars,6
64,MFGQ.SFA1CA,2008.09,F,Dollars,6
65,MFGQ.SFA1CA,2008.12,F,Dollars,6
66,MFGQ.SFA1CA,2009.03,F,Dollars,6
67,MFGQ.SFA1CA,2009.06,F,Dollars,6
68,MFGQ.SFA1CA,2009.09,F,Dollars,6
69,MFGQ.SFA1CA,2009.12,F,Dollars,6
70,MFGQ.SFA1CA,2010.03,F,Dollars,6
71,MFGQ.SFA1CA,2010.06,F,Dollars,6
72,MFGQ.SFA1CA,2010.09,F,Dollars,6
73,MFGQ.SFA1CA,2010.12,F,Dollars,6
74,MFGQ.SFA1CA,2011.03,F,Dollars,6
75,MFGQ.SFA1CA,2011.06,F,Dollars,6
76,MFGQ.SFA1CA,2011.09,F,Dollars,6
77,MFGQ.SFA1CA,2011.12,F,Dollars,6
78,MFGQ.SFA1CA,2012.03,F,Dollars,6
79,MFGQ.SFA1CA,2012.06,F,Dollars,6
80,MFGQ.SFA1CA,2012.09,F,Dollars,6
