id,Table_Name,Table_Sub_Name,Table_Section,Breakdown,Quarter,Unit
1,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201703,$ (millions)
2,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201706,$ (millions)
3,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201709,$ (millions)
4,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201712,$ (millions)
5,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201803,$ (millions)
6,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201806,$ (millions)
7,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201809,$ (millions)
8,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201812,$ (millions)
9,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201903,$ (millions)
10,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201906,$ (millions)
11,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201909,$ (millions)
12,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,201912,$ (millions)
13,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202003,$ (millions)
14,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202006,$ (millions)
15,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202009,$ (millions)
16,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202012,$ (millions)
17,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202103,$ (millions)
18,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202106,$ (millions)
19,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202109,$ (millions)
20,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202112,$ (millions)
21,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202203,$ (millions)
22,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202206,$ (millions)
23,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202209,$ (millions)
24,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202212,$ (millions)
25,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202303,$ (millions)
26,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202306,$ (millions)
27,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202309,$ (millions)
28,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202312,$ (millions)
29,Sales and purchases by Maori authorities ,Total sales,Maori authorities,Sales,202403,$ (millions)
30,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201703,$ (millions)
31,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201706,$ (millions)
32,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201709,$ (millions)
33,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201712,$ (millions)
34,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201803,$ (millions)
35,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201806,$ (millions)
36,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201809,$ (millions)
37,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201812,$ (millions)
38,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201903,$ (millions)
39,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201906,$ (millions)
40,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201909,$ (millions)
41,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,201912,$ (millions)
42,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202003,$ (millions)
43,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202006,$ (millions)
44,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202009,$ (millions)
45,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202012,$ (millions)
46,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202103,$ (millions)
47,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202106,$ (millions)
48,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202109,$ (millions)
49,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202112,$ (millions)
50,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202203,$ (millions)
51,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202206,$ (millions)
52,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202209,$ (millions)
53,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202212,$ (millions)
54,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202303,$ (millions)
55,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202306,$ (millions)
56,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202309,$ (millions)
57,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202312,$ (millions)
58,Sales and purchases by Maori authorities ,Total purchases,Maori authorities,Purchases,202403,$ (millions)
59,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201703,$ (millions)
60,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201703,$ (millions)
61,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201703,$ (millions)
62,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201703,$ (millions)
63,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201703,$ (millions)
64,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201703,$ (millions)
65,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201703,$ (millions)
66,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201706,$ (millions)
67,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201706,$ (millions)
68,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201706,$ (millions)
69,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201706,$ (millions)
70,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201706,$ (millions)
71,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201706,$ (millions)
72,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201706,$ (millions)
73,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201709,$ (millions)
74,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201709,$ (millions)
75,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201709,$ (millions)
76,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201709,$ (millions)
77,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201709,$ (millions)
78,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201709,$ (millions)
79,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201709,$ (millions)
80,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201712,$ (millions)
81,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201712,$ (millions)
82,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201712,$ (millions)
83,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201712,$ (millions)
84,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201712,$ (millions)
85,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201712,$ (millions)
86,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201712,$ (millions)
87,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201803,$ (millions)
88,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201803,$ (millions)
89,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201803,$ (millions)
90,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201803,$ (millions)
91,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201803,$ (millions)
92,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201803,$ (millions)
93,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201803,$ (millions)
94,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201806,$ (millions)
95,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201806,$ (millions)
96,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201806,$ (millions)
97,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201806,$ (millions)
98,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201806,$ (millions)
99,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201806,$ (millions)
100,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201806,$ (millions)
101,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201809,$ (millions)
102,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201809,$ (millions)
103,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201809,$ (millions)
104,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201809,$ (millions)
105,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201809,$ (millions)
106,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201809,$ (millions)
107,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201809,$ (millions)
108,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201812,$ (millions)
109,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201812,$ (millions)
110,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201812,$ (millions)
111,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201812,$ (millions)
112,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201812,$ (millions)
113,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201812,$ (millions)
114,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201812,$ (millions)
115,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201903,$ (millions)
116,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201903,$ (millions)
117,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201903,$ (millions)
118,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201903,$ (millions)
119,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201903,$ (millions)
120,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201903,$ (millions)
121,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201903,$ (millions)
122,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201906,$ (millions)
123,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201906,$ (millions)
124,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201906,$ (millions)
125,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201906,$ (millions)
126,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201906,$ (millions)
127,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201906,$ (millions)
128,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201906,$ (millions)
129,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201909,$ (millions)
130,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201909,$ (millions)
131,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201909,$ (millions)
132,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201909,$ (millions)
133,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201909,$ (millions)
134,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201909,$ (millions)
135,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201909,$ (millions)
136,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",201912,$ (millions)
137,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,201912,$ (millions)
138,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,201912,$ (millions)
139,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,201912,$ (millions)
140,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,201912,$ (millions)
141,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",201912,$ (millions)
142,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",201912,$ (millions)
143,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202003,$ (millions)
144,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202003,$ (millions)
145,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202003,$ (millions)
146,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202003,$ (millions)
147,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202003,$ (millions)
148,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202003,$ (millions)
149,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202003,$ (millions)
150,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202006,$ (millions)
151,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202006,$ (millions)
152,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202006,$ (millions)
153,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202006,$ (millions)
154,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202006,$ (millions)
155,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202006,$ (millions)
156,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202006,$ (millions)
157,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202009,$ (millions)
158,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202009,$ (millions)
159,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202009,$ (millions)
160,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202009,$ (millions)
161,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202009,$ (millions)
162,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202009,$ (millions)
163,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202009,$ (millions)
164,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202012,$ (millions)
165,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202012,$ (millions)
166,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202012,$ (millions)
167,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202012,$ (millions)
168,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202012,$ (millions)
169,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202012,$ (millions)
170,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202012,$ (millions)
171,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202103,$ (millions)
172,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202103,$ (millions)
173,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202103,$ (millions)
174,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202103,$ (millions)
175,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202103,$ (millions)
176,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202103,$ (millions)
177,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202103,$ (millions)
178,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202106,$ (millions)
179,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202106,$ (millions)
180,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202106,$ (millions)
181,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202106,$ (millions)
182,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202106,$ (millions)
183,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202106,$ (millions)
184,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202106,$ (millions)
185,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202109,$ (millions)
186,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202109,$ (millions)
187,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202109,$ (millions)
188,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202109,$ (millions)
189,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202109,$ (millions)
190,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202109,$ (millions)
191,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202109,$ (millions)
192,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202112,$ (millions)
193,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202112,$ (millions)
194,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202112,$ (millions)
195,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202112,$ (millions)
196,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202112,$ (millions)
197,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202112,$ (millions)
198,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202112,$ (millions)
199,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202203,$ (millions)
200,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202203,$ (millions)
201,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202203,$ (millions)
202,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202203,$ (millions)
203,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202203,$ (millions)
204,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202203,$ (millions)
205,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Rental, hiring and real estate services",202203,$ (millions)
206,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Arts, recreation, and other services",202206,$ (millions)
207,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Goods-producing industries,202206,$ (millions)
208,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Health care and social assistance,202206,$ (millions)
209,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Other services industries,202206,$ (millions)
210,"Sales by Maori authorities, by industry",By Industry,Maori authorities,Primary industries,202206,$ (millions)
211,"Sales by Maori authorities, by industry",By Industry,Maori authorities,"Professional, scientific, technical, administrative, and support services",202206,$ (millions)
